,Gold Formula,Generated Formula
0,"always[10,inf] ( x_0 >= 0.9475 )","always[19,inf] ( ( x_0 >= 0.9097 until[19,21] x_2 >= -0.8877 ) )"
1,"not ( always[14,19] ( eventually[7,inf] ( x_0 <= -0.7367 ) ) )","always[19,inf] ( x_0 >= -0.7977 )"
2,"( x_2 <= -0.2641 until[6,9] x_1 <= 0.7181 )",( x_1 <= 0.7071 and x_2 <= -0.2967 )
3,not ( x_0 <= 0.2762 ),not ( ( x_0 <= 0.2963 or x_0 <= 0.2963 ) )
4,"eventually[6,15] ( x_2 <= 0.54 )","eventually[1,19] ( x_2 <= 0.507 )"
5,"eventually[0,4] ( x_2 <= 1.8247 )","always[1,17] ( x_2 <= 1.8007 )"
6,"eventually[1,9] ( ( x_2 >= 0.7231 or x_2 <= 0.7229 ) )","( x_2 <= 0.6098 or always[17,20] ( x_2 <= 0.6067 ) )"
7,"( not ( ( ( eventually[3,inf] ( not ( x_1 <= 0.9504 ) ) until[19,21] ( x_1 <= 0.6022 and x_2 <= 0.055 ) ) or x_2 <= 0.2687 ) ) or ( eventually ( eventually[16,18] ( ( ( ( eventually[1,14] ( x_0 >= 0.0966 ) until[9,14] always[3,17] ( x_2 <= 0.6261 ) ) or x_2 <= 0.1992 ) until[16,20] ( x_2 >= -1.0836 and eventually[10,13] ( eventually[1,inf] ( x_0 >= -0.4595 ) ) ) ) ) ) or x_2 <= -0.5759 ) )","( x_2 >= -0.3337 or always[13,17] ( x_2 >= -0.2073 ) )"
8,"( not ( x_1 <= -0.3026 ) and ( ( x_0 >= 0.7657 until[12,inf] ( always[13,16] ( ( x_0 >= 0.1174 until[7,21] x_1 <= -0.7933 ) ) or always[17,19] ( x_1 >= -0.078 ) ) ) and x_1 <= -0.778 ) )",( ( x_1 <= -0.7077 and x_0 >= 0.7097 ) and x_1 <= -0.7777 )
9,not ( not ( x_2 >= -0.6419 ) ),not ( x_2 <= -0.6061 )
10,"( not ( always[2,19] ( x_2 <= 0.5551 ) ) until[12,18] x_0 >= 0.3501 )","( x_0 >= 0.3033 until[10,14] x_2 >= 0.6077 )"
11,( x_2 >= -0.0528 or x_0 <= -0.177 ),( x_0 <= -0.2337 or x_2 >= -0.0337 )
12,"eventually[11,inf] ( eventually[6,9] ( x_0 >= -0.6594 ) )","eventually[19,inf] ( x_0 >= -0.6977 )"
13,"always[6,9] ( ( x_0 >= 0.1484 until[18,inf] ( not ( x_1 <= 1.7558 ) and x_1 <= -1.5643 ) ) )","( ( x_1 <= -1.3077 until[17,21] x_1 >= 1.707 ) until[1,13] x_1 <= -1.0078 )"
14,not ( x_2 <= -1.952 ),"always[1,16] ( x_2 >= -1.9006 )"
15,"always[7,inf] ( x_1 <= -0.5897 )","always[19,inf] ( x_1 <= -0.5971 )"
16,"eventually[10,17] ( always[16,20] ( x_1 <= -0.8781 ) )","eventually[19,21] ( eventually[1,19] ( x_1 <= -0.8978 ) )"
17,"( x_0 <= -0.8877 until not ( always[11,18] ( x_2 >= -0.5769 ) ) )","( x_0 <= -0.9337 until[1,10] x_2 <= -0.4337 )"
18,"( x_2 >= -0.5018 until[5,21] ( x_0 >= 0.2388 until[8,10] x_0 <= 0.3368 ) )","( ( x_0 >= 0.0077 and x_0 >= 0.0097 ) until[10,14] x_2 >= -0.4077 )"
19,( x_0 <= -0.1914 and x_2 <= -0.1577 ),( x_0 <= -0.2637 and x_2 <= -0.2637 )
20,"eventually[7,17] ( x_0 <= -0.2795 )","eventually[11,17] ( x_0 <= -0.3078 )"
21,"always[13,17] ( eventually[18,21] ( ( x_2 <= 1.4207 and always[8,14] ( always[13,16] ( ( always[8,inf] ( not ( x_1 <= 0.2468 ) ) and ( ( not ( not ( x_0 >= 1.0672 ) ) or ( not ( x_1 >= 0.6248 ) until eventually[5,20] ( x_0 <= -0.0722 ) ) ) and ( x_0 <= -1.1636 and always[10,16] ( x_2 >= 0.182 ) ) ) ) ) ) ) ) )","( ( x_2 >= -0.2097 until[19,21] ( x_1 >= 0.4097 until[19,21] x_0 <= -0.977 ) ) until[19,21] x_1 >= 0.7777 )"
22,"always[18,inf] ( x_1 <= 0.133 )","always[19,inf] ( x_1 <= 0.1477 )"
23,"eventually[4,21] ( x_2 >= -0.5761 )","eventually[11,18] ( x_2 >= -0.6063 )"
24,"( ( x_1 >= 0.4506 and eventually[14,16] ( ( always[4,7] ( ( x_0 <= -0.4116 and ( not ( x_2 <= 0.0964 ) until[9,15] always[10,18] ( ( x_0 >= 0.3361 and ( ( x_0 <= -0.8666 until[13,15] x_1 >= -0.9045 ) or ( ( x_1 <= -1.1141 until[7,20] eventually[0,18] ( x_2 >= 0.6772 ) ) and eventually[7,16] ( x_1 >= -0.0444 ) ) ) ) ) ) ) ) until x_0 <= 0.7897 ) ) ) or not ( ( ( always[14,21] ( eventually[1,14] ( ( always[15,inf] ( x_1 <= -0.3826 ) until always[3,20] ( x_1 <= 1.9814 ) ) ) ) until[10,inf] x_1 <= 0.4503 ) until[5,8] x_0 <= -2.0578 ) ) )","( ( x_1 >= -0.0067 or x_0 >= -1.9067 ) or ( x_2 >= -0.0067 until[17,20] x_0 >= -1.9047 ) )"
25,"( always[16,21] ( eventually[0,3] ( eventually[11,20] ( always[1,inf] ( x_2 >= -0.3657 ) ) ) ) until ( ( x_2 >= 0.7364 and x_0 >= 1.3761 ) and x_1 >= 0.0648 ) )","( ( x_2 >= 0.2777 until[17,21] x_0 >= 1.1077 ) until[16,18] x_1 >= 0.277 )"
26,"( always[10,14] ( eventually[7,inf] ( ( x_2 <= -0.2794 and x_1 >= 0.8351 ) ) ) and x_1 <= -0.9864 )","( ( x_1 <= -0.9077 until[1,10] x_1 >= 0.7077 ) and x_1 >= -0.9077 )"
27,"always ( ( not ( x_2 <= 0.4682 ) and ( eventually[4,inf] ( x_2 <= -0.3204 ) or ( always[3,17] ( x_2 <= 0.4818 ) or ( eventually[18,20] ( eventually[0,10] ( x_0 <= -0.1556 ) ) or x_2 >= -0.4851 ) ) ) ) )","always[19,21] ( ( x_2 >= 0.4098 until[19,21] x_0 <= 1.2073 ) )"
28,not ( x_1 <= 0.8592 ),"not ( ( x_1 <= 0.8077 or ( x_0 >= -0.7077 until[1,13] x_1 <= 0.9077 ) ) )"
29,"( ( ( eventually[18,21] ( x_1 >= 1.3064 ) or ( ( x_0 <= -0.0658 until[19,21] eventually[6,20] ( x_0 >= -1.2251 ) ) or x_0 <= 0.2607 ) ) until x_1 >= 0.063 ) or x_2 <= -1.3851 )","( ( x_0 <= -0.6777 or x_1 >= 0.4077 ) until[16,18] x_2 <= -1.0077 )"
30,"always[10,13] ( x_2 <= -0.5566 )","eventually[11,17] ( x_2 <= -0.5068 )"
31,"always[11,21] ( x_1 >= -0.9938 )","always[13,17] ( x_1 >= -1.0068 )"
32,"eventually[12,21] ( x_2 <= -0.886 )","eventually[16,20] ( x_2 <= -0.8667 )"
33,"eventually[16,20] ( ( x_2 <= 0.7438 and ( x_1 >= 0.2469 or always[4,15] ( x_2 <= 1.1812 ) ) ) )","eventually[19,21] ( x_2 <= 0.7077 )"
34,( x_0 <= 0.0797 and ( x_0 <= -1.1497 until x_0 >= -1.5557 ) ),( x_0 <= -1.133 and x_1 >= -0.2967 )
35,"eventually[11,19] ( ( eventually[5,9] ( x_1 <= 0.1292 ) until[14,inf] ( not ( eventually[0,4] ( x_2 >= 0.4241 ) ) until ( not ( eventually ( ( ( x_0 <= -0.7431 until[15,17] x_0 <= 0.6099 ) or always[5,8] ( x_0 >= -0.2061 ) ) ) ) and always[8,14] ( x_1 <= 1.951 ) ) ) ) )","( ( ( x_0 <= -0.1977 until[19,21] x_1 <= -0.0077 ) until[19,21] x_2 <= -0.6077 ) until[19,21] ( x_0 <= -0.1977 until[19,21] x_0 <= -0.1977 ) )"
36,( x_2 >= -0.3079 and eventually ( ( always ( x_2 >= 1.1121 ) or x_2 <= 0.9868 ) ) ),( x_2 >= -0.2636 and x_0 <= 1.0071 )
37,"( always[12,21] ( eventually[9,17] ( x_2 <= 0.9475 ) ) until[11,20] x_2 >= -0.2667 )","( x_2 >= -0.6098 until[10,15] x_2 <= 0.4003 )"
38,always ( x_2 <= 0.4009 ),"always[19,inf] ( x_2 <= 0.307 )"
39,"eventually[19,21] ( eventually[14,19] ( x_1 >= 0.1765 ) )","eventually[19,21] ( eventually[15,18] ( x_1 >= 0.218 ) )"
40,( x_2 <= -0.7438 and not ( eventually ( x_0 <= -0.787 ) ) ),"( x_0 >= -0.197 until[16,18] x_2 <= -0.7077 )"
41,"( ( always[16,20] ( x_2 >= -1.2469 ) or x_2 >= -0.1503 ) and not ( x_0 >= 0.1904 ) )",( x_0 <= -0.009 and x_2 >= 1.0076 )
42,"( x_1 <= -1.8577 and ( ( x_1 >= 0.7231 or not ( x_2 >= 0.7644 ) ) until[9,15] x_2 <= -0.0407 ) )",( x_1 <= -1.707 and x_2 <= -0.207 )
43,( not ( eventually ( x_0 >= 1.464 ) ) or x_1 >= 1.0118 ),"always[19,21] ( ( ( x_0 <= 1.309 or x_1 >= -0.2778 ) or ( x_2 <= -0.0677 until[16,19] x_0 <= 0.9677 ) ) )"
44,"( x_2 >= 1.5895 until[18,20] not ( x_1 >= 0.1946 ) )","( x_2 >= 1.507 until[10,12] x_1 <= 0.277 )"
45,not ( x_2 >= -0.1942 ),not ( x_2 >= -0.1936 )
46,"( x_0 <= -1.4387 and not ( ( x_1 >= 1.8496 until[6,12] x_0 >= -1.5353 ) ) )",not ( x_0 >= -1.4338 )
47,"always[7,16] ( x_1 <= 1.016 )","always[1,19] ( x_1 <= 0.9877 )"
48,"always[4,6] ( not ( ( x_0 <= -0.6932 and x_0 >= 0.4712 ) ) )",( ( x_0 <= 0.0037 or x_0 >= -0.6337 ) or x_1 <= -0.2737 )
49,"always[19,21] ( x_2 >= -1.7682 )","always[17,21] ( x_2 >= -1.706 )"
50,"eventually[17,21] ( x_1 <= -0.3341 )","eventually[19,21] ( x_1 <= -0.3078 )"
51,"( not ( ( eventually[16,20] ( ( x_0 >= -0.3656 and ( not ( ( x_0 >= -0.4306 until[15,19] ( x_1 >= 0.9703 and ( ( x_1 >= 0.8631 until[11,14] x_2 >= -0.3938 ) and eventually[1,12] ( x_1 >= -1.021 ) ) ) ) ) until[14,19] x_1 <= -0.7007 ) ) ) or x_0 >= -0.5829 ) ) and always[13,17] ( not ( x_2 <= -1.0674 ) ) )",( x_0 <= -0.6636 and x_2 >= -0.9097 )
52,not ( x_0 >= 1.1683 ),not ( x_0 >= 1.1337 )
53,"eventually[6,17] ( x_2 <= 0.9309 )","eventually[10,18] ( x_2 <= 0.9077 )"
54,"eventually[9,18] ( always ( x_2 >= -0.9087 ) )","always[19,inf] ( x_2 >= -0.9788 )"
55,"always[1,9] ( x_1 >= -0.0524 )","always[1,13] ( x_1 >= -0.007 )"
56,"( x_0 <= -1.2572 until[12,21] x_0 <= 1.498 )","always[1,17] ( x_0 <= -1.2668 )"
57,not ( x_2 <= -1.0729 ),not ( ( x_2 <= -1.0063 and x_1 >= -1.6063 ) )
58,"( x_2 >= -0.5885 until[4,21] ( not ( x_0 >= -1.0254 ) until[3,9] x_1 <= -1.7016 ) )",( ( x_1 <= -1.607 and x_0 <= -0.707 ) and x_2 <= -0.277 )
59,"not ( eventually[15,20] ( ( x_0 <= -1.8594 until[4,inf] x_0 <= 0.7441 ) ) )","always[17,21] ( x_0 >= -1.806 )"
60,"not ( not ( always[8,11] ( always[1,13] ( x_2 >= -1.8243 ) ) ) )","always[17,20] ( x_2 >= -1.706 )"
61,( x_1 <= -0.8303 or x_1 <= 1.2175 ),not ( x_1 >= 1.1217 )
62,"always[0,11] ( ( ( x_1 <= -0.7264 and ( ( always[4,14] ( x_1 >= -0.8752 ) until[9,inf] always[14,20] ( not ( always[10,inf] ( ( always[18,inf] ( x_0 <= -0.5999 ) or not ( ( ( x_2 >= 1.8245 or x_1 >= -0.903 ) or not ( x_2 >= 0.1556 ) ) ) ) ) ) ) ) until x_2 <= 1.9262 ) ) and ( x_0 <= -0.4724 until[15,20] x_0 <= -0.5426 ) ) )","( ( x_0 <= -0.6097 until[13,17] x_1 <= -0.777 ) and x_0 <= -0.7077 )"
63,not ( x_1 >= -0.24 ),not ( x_1 >= -0.2376 )
64,"eventually[10,inf] ( x_2 >= 0.1845 )","eventually[19,inf] ( x_2 >= 0.1966 )"
65,"not ( ( x_2 <= 0.958 until[10,13] ( x_1 >= 0.8611 or eventually[6,inf] ( ( x_2 >= -0.9609 or x_1 <= 0.1178 ) ) ) ) )",( x_2 >= 0.9071 or x_1 >= -1.2777 )
66,"( ( not ( ( x_1 >= -1.1477 and eventually[14,21] ( x_0 >= 0.6359 ) ) ) or x_0 <= 0.4394 ) until[1,19] x_2 <= 0.3729 )","( x_2 <= 0.409 until[1,17] x_0 <= 0.6077 )"
67,( x_2 >= 1.2939 or x_1 <= 1.5713 ),"not ( ( x_1 >= 1.406 until[1,17] x_2 <= 0.206 ) )"
68,"( x_2 <= 1.6355 and ( x_1 <= -1.22 and ( x_0 <= 1.2723 until[0,15] x_0 <= 0.5272 ) ) )",( x_1 <= -1.106 and x_0 <= 0.007 )
69,"( eventually[0,inf] ( x_2 <= -1.3547 ) and ( ( ( x_2 >= 0.3569 or x_1 <= -0.3649 ) until[1,6] always[0,14] ( x_0 <= 1.1498 ) ) and ( not ( not ( x_1 >= -0.0692 ) ) or eventually[0,4] ( x_1 <= -0.7882 ) ) ) )","( ( x_2 <= -1.2078 until[16,18] x_1 <= -0.067 ) until[16,19] x_0 <= -0.2067 )"
70,"not ( always[4,21] ( ( x_1 >= 0.1823 until[4,17] x_1 >= 1.784 ) ) )","always[19,21] ( x_1 <= 1.709 )"
71,"eventually[2,15] ( x_2 >= 0.2954 )","eventually[3,11] ( x_2 >= 0.2966 )"
72,( x_1 >= 1.4192 or x_2 <= -0.2959 ),( x_2 <= -0.267 or x_1 >= 1.2071 )
73,"( ( always ( eventually[3,18] ( x_0 >= 0.1649 ) ) and ( ( x_0 <= 1.1037 or ( x_2 >= -0.8063 and ( x_1 >= -1.7822 or not ( always[9,15] ( x_0 >= -0.4145 ) ) ) ) ) or always[14,21] ( not ( ( ( x_2 <= -0.4344 or not ( ( x_2 >= 1.708 and x_0 >= 0.73 ) ) ) until[4,16] always[17,20] ( not ( x_2 <= -0.6365 ) ) ) ) ) ) ) and eventually[2,inf] ( eventually[8,21] ( ( eventually[13,21] ( x_1 >= 0.8943 ) and x_1 <= 0.9483 ) ) ) )","( ( x_0 >= -0.0097 until[19,21] x_1 >= 0.7077 ) until[19,21] ( x_0 >= 0.0077 or x_1 >= 0.7077 ) )"
74,"not ( eventually[4,11] ( x_2 <= -1.558 ) )","always[1,18] ( x_2 >= -1.406 )"
75,"( x_1 >= 0.545 until[19,21] always[2,6] ( x_0 <= 0.3006 ) )","( x_0 <= 0.197 until[19,21] x_1 >= 0.6077 )"
76,"always[7,10] ( always[6,16] ( ( ( always[11,inf] ( x_2 >= 1.8306 ) until[2,20] ( x_2 <= 0.8349 until[18,20] x_0 <= -0.0345 ) ) or x_1 <= -1.1997 ) ) )","( ( x_1 <= -1.2077 or x_2 >= -1.277 ) until[19,21] x_2 <= 1.207 )"
77,"( x_0 >= -0.2405 until[16,20] ( not ( always ( always[8,21] ( x_0 >= 1.5396 ) ) ) and x_1 <= -0.5295 ) )","( ( x_0 >= -0.0977 until[19,21] x_1 <= -0.477 ) until[10,17] x_0 >= -0.0077 )"
78,"not ( eventually ( ( always ( ( always[4,inf] ( x_1 >= -0.3303 ) or ( ( always[0,18] ( x_2 >= 0.6815 ) until[16,18] eventually[0,6] ( always[9,18] ( x_1 <= -0.2108 ) ) ) and always[0,7] ( x_0 >= 0.0546 ) ) ) ) until[10,21] ( eventually[9,17] ( x_0 >= 0.6804 ) and ( x_1 <= 1.3044 and not ( not ( x_0 <= -1.2708 ) ) ) ) ) ) )",( ( ( x_0 <= -0.9067 or x_0 <= 0.9067 ) or x_1 <= 0.4337 ) or ( x_0 >= -1.0637 or x_2 <= -0.3337 ) )
79,( x_2 <= 0.6246 until not ( x_1 >= -1.2094 ) ),"( ( x_2 <= 0.007 or x_1 <= -1.007 ) until[19,21] x_1 <= -1.007 )"
80,"not ( always[12,18] ( ( not ( eventually[6,15] ( ( x_0 >= -1.6435 until[17,inf] ( ( ( x_0 >= 1.7993 and eventually[17,inf] ( not ( x_0 >= 0.4209 ) ) ) until[6,inf] x_1 >= -1.483 ) or x_2 <= 0.4611 ) ) ) ) and eventually[18,inf] ( not ( x_2 >= 0.5065 ) ) ) ) )","( ( ( x_2 >= 0.0077 or x_2 >= -0.0077 ) or x_2 >= 0.6077 ) or ( x_2 >= -0.0077 until[17,20] x_1 <= -0.0637 ) )"
81,"( ( eventually[10,19] ( not ( always ( x_1 <= 0.4355 ) ) ) and ( x_1 >= -0.2921 until x_0 >= -0.662 ) ) and x_1 >= -1.0225 )","( x_0 >= -0.9077 until[19,21] x_1 >= 0.3077 )"
82,"( always[13,18] ( not ( x_2 >= 0.9591 ) ) or always[0,inf] ( ( x_0 >= -0.7328 or x_2 >= 0.6586 ) ) )","( ( x_0 >= -0.0097 or x_2 <= 0.9067 ) or always[17,20] ( x_2 <= 0.9067 ) )"
83,( x_0 <= 1.0026 and x_0 >= 0.3768 ),( x_0 >= 0.309 and x_0 <= 0.4097 )
84,"eventually ( ( eventually[14,19] ( x_2 >= -0.1783 ) until[19,inf] not ( x_1 <= -1.8518 ) ) )","( x_2 >= -1.1077 until[19,inf] x_2 >= -0.2977 )"
85,"not ( always ( ( always ( x_0 <= -0.8672 ) and ( x_0 >= 0.9219 and always[16,inf] ( x_2 <= -0.2746 ) ) ) ) )","not ( ( ( ( ( x_0 <= -0.9077 until[17,19] x_0 <= -0.9077 ) until[16,19] x_2 <= 0.6077 ) until[16,19] x_0 >= 0.9077 ) until[16,18] ( x_2 <= -0.7077 and x_1 >= -0.3377 ) ) )"
86,"( x_1 >= -0.4546 until[3,5] eventually ( ( ( not ( x_1 <= 0.872 ) or x_1 <= -0.728 ) until[8,17] always[17,inf] ( always[5,13] ( always[11,inf] ( eventually[15,18] ( x_1 >= -1.2113 ) ) ) ) ) ) )","( ( x_2 >= -0.9077 or x_1 >= 0.6077 ) or ( x_0 >= -0.0077 until[19,21] x_1 >= 0.6077 ) )"
87,"eventually[15,18] ( not ( eventually[1,5] ( always[1,inf] ( x_1 >= -0.1085 ) ) ) )","eventually[11,inf] ( x_1 <= -0.127 )"
88,"eventually[19,21] ( not ( x_1 <= -1.3247 ) )","always[17,21] ( x_1 >= -1.306 )"
89,"eventually[7,11] ( x_1 >= -0.277 )","eventually[3,13] ( x_1 >= -0.2963 )"
90,"( x_1 <= 0.2499 or ( ( ( always[16,21] ( not ( eventually[0,6] ( eventually ( ( ( ( x_2 >= 0.1414 until x_0 <= 0.7886 ) or x_2 >= 0.5751 ) and x_2 >= 0.6252 ) ) ) ) ) and ( ( eventually[6,11] ( eventually[5,13] ( x_2 <= 0.5987 ) ) or not ( x_0 <= 0.7467 ) ) until not ( x_0 <= -1.266 ) ) ) and always[0,inf] ( eventually[5,16] ( x_1 <= 0.8078 ) ) ) until not ( ( ( x_2 >= -0.0448 until[17,19] x_2 >= -0.0403 ) or x_0 <= 0.8623 ) ) ) )","( x_1 <= 0.296 or ( x_0 >= -0.9077 until[11,17] x_1 <= 0.207 ) )"
91,not ( x_1 >= 2.1942 ),"not ( ( x_1 >= 2.006 until[1,13] x_2 >= 0.206 ) )"
92,"eventually[18,21] ( x_2 >= -0.592 )","eventually[19,21] ( x_2 >= -0.6068 )"
93,"eventually[13,21] ( x_0 <= 0.728 )","eventually[16,21] ( x_0 <= 0.7377 )"
94,"( ( x_1 <= -0.6639 or ( eventually[16,20] ( x_2 <= 1.6472 ) or ( always[1,16] ( x_0 <= -1.313 ) or ( ( x_2 <= -0.8463 or ( x_1 <= -1.4076 or x_2 <= -0.8844 ) ) until[15,21] always[18,inf] ( x_1 >= -0.722 ) ) ) ) ) and ( ( ( x_0 <= -1.9751 and x_1 >= 0.1134 ) until[9,13] ( x_2 >= 0.627 and always[1,19] ( eventually[9,14] ( always[6,19] ( x_0 >= -1.6283 ) ) ) ) ) or ( x_0 <= -0.7502 until[5,15] eventually[5,12] ( eventually[4,7] ( ( ( x_1 <= 0.3443 until[19,21] ( x_0 <= 0.8606 and x_0 >= -1.124 ) ) and always[14,inf] ( x_1 >= 0.6765 ) ) ) ) ) ) )","( ( x_1 >= 0.6077 until[16,18] x_0 <= -0.977 ) until[1,13] x_1 >= 0.9777 )"
95,"( ( eventually[1,inf] ( x_2 >= 0.5403 ) until[12,21] ( ( ( always[6,14] ( not ( ( eventually[6,inf] ( x_2 >= 1.6419 ) or x_0 >= -1.1912 ) ) ) and always[18,20] ( x_0 >= 0.0181 ) ) and x_0 <= 0.7527 ) until[1,11] always[14,21] ( eventually[4,inf] ( x_1 >= 2.2652 ) ) ) ) or always ( x_0 >= -0.0058 ) )",always ( x_0 >= 0.007 )
96,"( x_1 >= -0.2752 until[13,inf] ( not ( eventually[0,inf] ( ( x_0 <= 1.2357 and ( always[1,18] ( x_0 <= 2.3139 ) or x_1 >= 1.5887 ) ) ) ) and x_1 <= -1.152 ) )","( ( ( x_1 <= -0.9077 until[19,21] x_0 >= 0.9077 ) until[19,21] x_1 <= -0.977 ) until[16,19] x_1 <= -0.9777 )"
97,"( eventually[16,inf] ( x_2 <= 0.9832 ) until x_0 <= -1.0884 )","( ( x_2 <= 0.9777 or x_0 <= -0.9777 ) until[19,21] x_0 <= -1.0077 )"
98,"( not ( always[13,17] ( x_0 <= -0.3121 ) ) or ( always[14,21] ( x_0 >= 1.1408 ) and x_1 <= -0.5033 ) )","eventually[11,19] ( x_0 >= -0.307 )"
99,"( eventually[7,20] ( ( ( not ( x_2 >= -0.1965 ) or ( x_0 <= 0.6817 and x_2 <= 0.2546 ) ) or ( ( ( always[19,21] ( ( ( x_1 >= -2.1609 and x_0 <= -0.3508 ) and x_0 >= 0.5441 ) ) and x_1 <= -0.0447 ) or x_0 <= -0.8144 ) or ( always ( ( x_0 >= 1.419 and not ( not ( eventually[4,inf] ( x_1 <= 1.5794 ) ) ) ) ) or ( x_1 >= 1.4981 or always[10,21] ( always[1,9] ( ( x_2 >= 0.7468 or ( x_2 <= -0.421 or eventually ( x_1 <= 1.0521 ) ) ) ) ) ) ) ) ) ) and not ( always[11,inf] ( ( ( ( x_2 <= -1.3112 until[12,15] x_2 <= -1.4465 ) and x_0 >= -0.5115 ) until[6,inf] not ( x_2 >= 0.9412 ) ) ) ) )","( ( x_2 >= -0.7097 or x_1 <= 0.9077 ) or eventually[17,inf] ( x_0 <= -0.977 ) )"
100,"( always[10,13] ( ( ( x_2 <= -0.8826 and ( ( always[3,12] ( eventually[16,18] ( x_0 >= -0.8223 ) ) and always[2,inf] ( always[15,21] ( ( ( x_2 <= -2.1748 until[5,13] always[10,13] ( x_2 <= 2.2224 ) ) or x_2 <= -1.3332 ) ) ) ) or x_1 >= -0.9774 ) ) until[0,18] x_2 >= 0.1792 ) ) and ( ( ( x_2 <= 1.2526 and ( ( not ( eventually[15,inf] ( x_1 <= -0.1498 ) ) until[7,17] x_1 <= -0.3626 ) until[16,19] eventually[7,10] ( x_1 >= -0.9159 ) ) ) or ( x_0 <= -0.6279 and eventually[1,17] ( x_0 >= 0.7631 ) ) ) and always ( x_1 >= 0.2113 ) ) )","( ( ( x_2 <= -0.7078 until[19,21] x_1 >= 0.4078 ) until[16,18] x_2 <= -0.7077 ) until[16,19] x_1 >= 0.4077 )"
101,"( ( ( x_2 <= -0.7526 until[6,16] x_2 <= -0.4807 ) or ( eventually[18,21] ( x_1 <= -0.1459 ) and always[18,21] ( x_1 <= 0.19 ) ) ) until[19,21] always[10,21] ( ( x_2 >= 0.2723 until[9,11] x_0 <= -0.093 ) ) )","( ( ( x_2 >= 0.1977 until[19,21] x_0 <= -0.0973 ) until[19,21] x_1 <= 0.077 ) until[19,21] x_2 >= 0.3077 )"
102,"( ( eventually[5,9] ( eventually ( x_0 <= -1.8162 ) ) and x_0 >= 0.9037 ) until[1,17] ( eventually[3,9] ( ( not ( x_0 >= 1.6082 ) or x_2 <= 0.6938 ) ) or eventually[3,18] ( x_2 >= -0.1451 ) ) )","( ( x_0 <= -1.5077 and x_0 >= 0.7077 ) until[1,10] x_1 >= 0.7077 )"
